CoRE-COFs ID; CoRE-COF-v2.0 ID (Tong et al.); name; dimension; atom types; reference; duplicate found; modifications;
12023N; 278; ZnPc-NDI; 2D; H,B,C,N,O,Zn; Angew. Chem. Int. Ed., 2012, 51, 2623-2627; none; replicated 2x in C direction;
12024N; 279; ZnPc-PPE; 2D; H,B,C,N,O,Zn; Angew. Chem. Int. Ed., 2012, 51, 2623-2627; none; replicated 2x in C direction;
12030N; 081; DA-COF; 2D; H,B,C,N,O,S; Adv. Mater., 2012, 24, 3026-3031; none; replicated 2x in C direction;
12040N; 071; CTC-COF; 2D; H,B,C,O; J. Mater. Chem., 2012, 22, 5369; none; replicated 2x in C direction;
12050N; 026; BLP-2H-AA; 2D; H,B,C,N; Chem. Commun., 2012, 48, 8823-8825; none; replicated 2x in C direction;
12051N; 027; BLP-2H-AB; 2D; H,B,C,N; Chem. Commun., 2012, 48, 8823-8825; none; none;
13000N; miss; FCTF-1; 2D; C,N,F; Energy Environ. Sci., 2013, 6, 3684; none; created adding F to 08020N and UFF opt , replicated 2x in C direction;
13010N; 212; Star-COF-1; 2D; H,B,C,O; CrystEngComm, 2013, 15, 1508-1511; none; replicated 2x in C direction;
13011N; 213; Star-COF-2; 2D; H,B,C,O; CrystEngComm, 2013, 15, 1508-1511; none; replicated 2x in C direction;
13012N; 214; Star-COF-3; 2D; H,B,C,O; CrystEngComm, 2013, 15, 1508-1511; none; replicated 2x in C direction;
13020N; 225; TD-COF-5; 2D; H,B,C,O; CrystEngComm, 2013, 15, 1524-1527; none; replicated 2x in C direction;
13030N; 072; CTF-0; 2D; H,C,N; Chem. Mater., 2013, 25, 1542-1548; none; replicated 2x in C direction;
13040N; 047; COF-320; 3D; H,C,N; J. Am. Chem. Soc., 2013, 135, 16336-16339; none; none;
13050N; 082; DAAQ-TFP COF; 2D; H,C,N,O; J. Am. Chem. Soc., 2013, 135, 16821-16824; none; replicated 2x in C direction;
